Party,Candidates,Seats Won,% of Seats Won,% os Vote
Conservative Party of Canada/Parti conservateur du Canada post-2003,308,166,54.07%,39.64%
New Democratic Party/Nouveau Parti démocratique,308,103,33.55%,30.65%
Liberal Party of Canada/Parti libéral du Canada,308,34,11.07%,18.90%
Bloc Québécois,75,3,0.98%,6.05%
Green Party of Canada/Parti Vert du Canada,305,1,0.33%,3.89%
Pirate Party,10,0,0%,0.02%
Western Block Party,4,0,0%,0.01%
Progressive Canadian Party/Parti Progressiste Canadien,8,0,0%,0.03%
Rhinoceros Party/Parti Rhinocéros,13,0,0%,0.02%
United Party of Canada,3,0,0%,0.00%
Marxist-Leninist Party of Canada,70,0,0%,0.07%
Unknown/Sans désignation,6,0,0%,0.06%
Marijuana Party of Canada/Parti marijuana du Canada,5,0,0%,0.01%
Canadian Action Party,12,0,0%,0.01%
Communist Party of Canada,21,0,0%,0.02%
First Peoples National Party of Canada,1,0,0%,0.00%
Independent/Indépendant,54,0,0%,0.43%
Libertarian Party of Canada,23,0,0%,0.04%
Animal Alliance Environment Voters Party of Canada,7,0,0%,0.01%
Christian Heritage Party of Canada/le Parti de L'Héritage Chrétien du Canada,46,0,0%,0.13%
