Party,Candidates,Seats Won,% of Seats Won,% os Vote
Progressive Conservative Party of Canada/Parti progressiste-conservateur du Canada,294,169,57.48%,43.03%
Liberal Party of Canada/Parti libéral du Canada,293,83,28.23%,31.90%
New Democratic Party/Nouveau Parti démocratique,295,42,14.29%,20.40%
Party for the Commonwealth of Canada/Parti Pour République,58,0,0%,0.06%
Rhinoceros Party/Parti Rhinocéros,74,0,0%,0.39%
Unknown/Sans désignation,100,0,0%,0.18%
Social Credit Party of Canada,9,0,0%,0.03%
Reform Party of Canada,72,0,0%,2.10%
Libertarian Party of Canada,88,0,0%,0.25%
Communist Party of Canada,51,0,0%,0.05%
Co-operative Commonwealth Federation,1,0,0%,0.00%
Confederation of Regions Western Party,51,0,0%,0.31%
Green Party of Canada/Parti Vert du Canada,68,0,0%,0.36%
Independent/Indépendant,55,0,0%,0.17%
Christian Heritage Party of Canada/le Parti de L'Héritage Chrétien du Canada,63,0,0%,0.77%
